Topic,Words,Frequency,Timestamp,Name,topic_label
0,"test, tool, ll, file, environment",1,2016-11-07 19:16:19.200,Environmental Management,Environmental Management
17,"talked, people, man, woman, tech",2,2016-11-07 19:16:19.200,Tech for Good,Tech for Good
0,"next, env, js, staging, production",1,2017-09-26 16:48:00.000,Environmental Management,Environmental Management
2,"ve, os, source, opencollective, patreon",1,2017-09-26 16:48:00.000,Open Source Funding,Open Source Funding
5,"programming, dynamicland, work, way, computer",1,2017-09-26 16:48:00.000,Workplace dynamics,Workplace dynamics
0,"file, folder, public, env, typo3",1,2018-03-05 13:12:00.000,Environmental Management,Environmental Management
5,"sorting, array, sort, element, mac",1,2018-03-05 13:12:00.000,Workplace dynamics,Workplace dynamics
0,"file, environment, docker, json, run",3,2018-08-12 09:36:00.000,Environmental Management,Environmental Management
2,"beta, membership, feature, extra, to",1,2018-08-12 09:36:00.000,Open Source Funding,Open Source Funding
5,"job, duc, hateful, disrespectful, poisonous",1,2018-08-12 09:36:00.000,Workplace dynamics,Workplace dynamics
-1,"esp32, sensor, arduino, sds, 011",1,2019-01-19 06:00:00.000,Sustainable Display Technologies,Sustainable Display Technologies
0,"file, environment, line, git, variable",3,2019-01-19 06:00:00.000,Environmental Management,Environmental Management
2,"open, source, project, funding, audience",1,2019-01-19 06:00:00.000,Open Source Funding,Open Source Funding
3,"dc, power, ac, gadget, center",1,2019-01-19 06:00:00.000,Renewable Energy Market,Renewable Energy Market
5,"team, thing, culture, work, something",2,2019-01-19 06:00:00.000,Workplace dynamics,Workplace dynamics
9,"battery, esp32, pin, voltage, monitoring",1,2019-01-19 06:00:00.000,Energy Efficiency and Monitoring,Energy Efficiency and Monitoring
-1,"housing, unit, completion, permit, austin",2,2019-06-28 02:24:00.000,Sustainable Display Technologies,Sustainable Display Technologies
0,"wsl, environment, variable, window, linux",3,2019-06-28 02:24:00.000,Environmental Management,Environmental Management
1,"tech, worker, climate, company, carbon",2,2019-06-28 02:24:00.000,Software Sustainability,Software Sustainability
2,"license, open, patron, source, prosperity",1,2019-06-28 02:24:00.000,Open Source Funding,Open Source Funding
5,"lisp, odin, program, common, code",2,2019-06-28 02:24:00.000,Workplace dynamics,Workplace dynamics
7,"ai, model, card, kg, author",1,2019-06-28 02:24:00.000,AI Energy Consumption,AI Energy Consumption
12,"environment, django, variable, virtual, python",1,2019-06-28 02:24:00.000,Python Virtual Environments,Python Virtual Environments
17,"organisation, good, tech, volunteer, event",1,2019-06-28 02:24:00.000,Tech for Good,Tech for Good
-1,"davos, technology, create, reflects, globe",1,2019-12-04 22:48:00.000,Sustainable Display Technologies,Sustainable Display Technologies
0,"window, file, environment, nginx, wsl",4,2019-12-04 22:48:00.000,Environmental Management,Environmental Management
1,"justify, align, sustainability, lip, ua",2,2019-12-04 22:48:00.000,Software Sustainability,Software Sustainability
7,"blauer, engel, operating, system, seal",1,2019-12-04 22:48:00.000,AI Energy Consumption,AI Energy Consumption
12,"python, install, directory, package, environment",2,2019-12-04 22:48:00.000,Python Virtual Environments,Python Virtual Environments
0,"environment, variable, window, vercel, version",8,2020-05-12 19:12:00.000,Environmental Management,Environmental Management
3,"bug, apps, evil, avoided, lock",1,2020-05-12 19:12:00.000,Renewable Energy Market,Renewable Energy Market
4,"sustainable, web, website, digital, dev",2,2020-05-12 19:12:00.000,Sustainable Web Design,Sustainable Web Design
5,"rust, thing, plan, decided, go",2,2020-05-12 19:12:00.000,Workplace dynamics,Workplace dynamics
7,"twilio, number, task, function, chatbot",1,2020-05-12 19:12:00.000,AI Energy Consumption,AI Energy Consumption
12,"python, environment, virtual, create, venv",2,2020-05-12 19:12:00.000,Python Virtual Environments,Python Virtual Environments
17,"hate, community, osca, people, idea",3,2020-05-12 19:12:00.000,Tech for Good,Tech for Good
0,"environment, variable, file, container, env",7,2020-10-19 15:36:00.000,Environmental Management,Environmental Management
1,"engineering, software, laptop, carbon, sustainability",4,2020-10-19 15:36:00.000,Software Sustainability,Software Sustainability
